DataSet,MMC,AUROC,FPR@95
MNIST,0.858574390411377,-,-
FMNIST,0.6050759553909302,0.83354846,0.05700000002980232
EMNIST,0.668654203414917,0.7735592800000001,0.11189999431371689
GrayCIFAR10,0.5422429442405701,0.893571765,0.008700000122189522
Noise,0.19939973950386047,0.9992444000000001,1.6666666851961054e-05
Adv. Noise,0.9106525778770447,0.46792354863514035,0.11627450585365295
Adv. Sample,0.8039741516113281,0.6160938100730489,0.1980392336845398
