DataSet,MMC,AUROC,FPR@95
MNIST,0.10000419616699219,-,-
FMNIST,0.10000038892030716,0.23976734,0.0
EMNIST,0.10000252723693848,0.3705316,0.0
GrayCIFAR10,0.0999981090426445,0.06523409,0.0
Noise,0.10000944137573242,0.49398452,0.0
Adv. Noise,0.10000764578580856,0.4704775,0.0
Adv. Sample,0.10000428557395935,0.49705884,0.0
Adv. Noise,0.10000500828027725,0.4795156,0.0
Adv. Sample,0.10000503063201904,0.48438874,0.0
Adv. Noise,0.10001462697982788,0.41908884,0.0
Adv. Sample,0.10000427067279816,0.48049024,0.0
Adv. Noise,0.10000787675380707,0.4103172,0.0
Adv. Sample,0.10000453889369965,0.48438874,0.0
Adv. Noise,0.10000759363174438,0.39764708,0.0
Adv. Sample,0.1000044047832489,0.48828724,0.0
Adv. Noise,0.10000839829444885,0.21441756,0.0
Adv. Sample,0.10000419616699219,0.4902365,0.0
Adv. Noise,0.10000479221343994,0.4015456,0.0
Adv. Sample,0.10000433027744293,0.4902365,0.0
Adv. Noise,0.10001564025878906,0.38400233,0.0
Adv. Sample,0.10000433027744293,0.486338,0.0
Adv. Noise,0.10001113265752792,0.2592503,0.0
Adv. Sample,0.10000385344028473,0.48049024,0.0
Adv. Noise,0.10000452399253845,0.37328145,0.0
Adv. Sample,0.10000388324260712,0.47659174,0.0
Adv. Noise,0.10001204907894135,0.35183972,0.0
Adv. Sample,0.1000029668211937,0.4405306,0.0
Adv. Noise,0.10000631958246231,0.3947232,0.0
Adv. Sample,0.10000298917293549,0.45320073,0.0
Adv. Noise,0.10000060498714447,0.24950406,0.0
Adv. Sample,0.10000313073396683,0.4522261,0.0
Adv. Noise,0.1000031903386116,0.30895618,0.0
Adv. Sample,0.10000354796648026,0.4639216,0.0
Adv. Noise,0.10000859200954437,0.26119956,0.0
Adv. Sample,0.10000351816415787,0.47074398,0.0
Adv. Noise,0.10000194609165192,0.15009229,0.0
Adv. Sample,0.10000325739383698,0.46099773,0.0
Adv. Noise,0.10001912713050842,0.2777682,0.0
Adv. Sample,0.10000422596931458,0.49121112,0.0
Adv. Noise,0.10003849118947983,0.2855652,0.0
Adv. Sample,0.10000427812337875,0.48926187,0.0
Adv. Noise,0.10005118697881699,0.18712805,0.0
Adv. Sample,0.10000436007976532,0.49510962,0.0
Adv. Noise,0.10003544390201569,0.2631488,0.0
Adv. Sample,0.10000428557395935,0.494135,0.0
Adv. Noise,0.1000366136431694,0.27971742,0.0
Adv. Sample,0.10000449419021606,0.49510962,0.0
