DataSet,MMC,AUROC,FPR@95
orig,0.9872554540634155,-,-
CIFAR10,0.6940525770187378,0.95027868,0.24009999632835388
CIFAR100,0.6615663170814514,0.9540165700000001,0.2223999947309494
LSUN_CR,0.686592161655426,0.960677777777778,0.20333333313465118
Imagenet-,0.6753151416778564,0.954951755,0.22360000014305115
Noise,0.686773419380188,0.9687299074841869,0.1663673371076584
Adv. Noise,0.971972644329071,0.16331787109374998,0.8624999523162842
Adv. Sample,0.9970000386238098,0.04651944444444442,0.996666669845581
