DataSet,MMC,AUROC,FPR@95
MNIST,0.10000427067279816,-,-
FMNIST,0.10000047087669373,0.24331306,0.0
EMNIST,0.10000263154506683,0.3777651,0.0
GrayCIFAR10,0.09999819099903107,0.069432996,0.0
Noise,0.10000944137573242,0.49649173,0.0
Adv. Noise,0.10001717507839203,0.47165123,0.0
Adv. Sample,0.10000427067279816,0.4970627,0.0
Adv. Noise,0.10003278404474258,0.3222607,0.0
Adv. Sample,0.10000697523355484,0.4970627,0.0
Adv. Noise,0.10003644973039627,0.28417534,0.0
Adv. Sample,0.10000579059123993,0.4970627,0.0
Adv. Noise,0.1000385507941246,0.27050367,0.0
Adv. Sample,0.10000613331794739,0.4970627,0.0
Adv. Noise,0.10004252940416336,0.22460595,0.0
Adv. Sample,0.10000547766685486,0.49608618,0.0
Adv. Noise,0.10005469620227814,0.16210689,0.0
Adv. Sample,0.10000566393136978,0.4970627,0.0
Adv. Noise,0.10005292296409607,0.10839678,0.0
Adv. Sample,0.10000669211149216,0.49608618,0.0
Adv. Noise,0.1000320315361023,0.26073822,0.0
Adv. Sample,0.10000485181808472,0.49510962,0.0
Adv. Noise,0.10003256052732468,0.2792926,0.0
Adv. Sample,0.10000644624233246,0.4970627,0.0
Adv. Noise,0.10003088414669037,0.30175322,0.0
Adv. Sample,0.10000424087047577,0.49510962,0.0
Adv. Noise,0.10001292824745178,0.379877,0.0
Adv. Sample,0.10000529885292053,0.4970627,0.0
Adv. Noise,0.10008355230093002,0.08788925,0.0
Adv. Sample,0.10000582039356232,0.49803925,0.0
Adv. Noise,0.10008745640516281,0.05566319,0.0
Adv. Sample,0.10000520944595337,0.49608618,0.0
Adv. Noise,0.10003799945116043,0.27831605,0.0
Adv. Sample,0.10000451654195786,0.4970627,0.0
Adv. Noise,0.1000649631023407,0.16503654,0.0
Adv. Sample,0.10000433772802353,0.49608618,0.0
Adv. Noise,0.10004973411560059,0.23046523,0.0
Adv. Sample,0.10000499337911606,0.4970627,0.0
Adv. Noise,0.10008788108825684,0.056639753,0.0
Adv. Sample,0.10000507533550262,0.49803925,0.0
Adv. Noise,0.10008325427770615,0.10742022,0.0
Adv. Sample,0.10000744462013245,0.4970627,0.0
Adv. Noise,0.10005050152540207,0.26171473,0.0
Adv. Sample,0.10000771284103394,0.49608618,0.0
Adv. Noise,0.10005058348178864,0.26171473,0.0
Adv. Sample,0.10000786930322647,0.4970627,0.0
Adv. Noise,0.10005953907966614,0.215817,0.0
Adv. Sample,0.10000796616077423,0.4970627,0.0
